CNPJ,Valor_corrigido,Anomalia,k
05324131000148,229.74,0,2
05324131000148,156.79,0,2
05324131000148,75.76,0,2
05324131000148,143.87,0,2
05324131000148,398.74,0,2
05324131000148,142.41,0,2
05324131000148,257.22,0,2
05324131000148,173.82,0,2
05324131000148,338.82,0,2
05324131000148,187.15,0,2
05324131000148,183.74,0,2
05324131000148,272.79,0,2
07201070000157,83.56,0,9
07201070000157,378.32,0,9
07201070000157,424.51,0,9
07201070000157,72.78,0,9
07201070000157,207.29,1,9
07201070000157,629.82,0,9
07201070000157,892.56,0,9
07201070000157,85.49,0,9
07201070000157,75.08,0,9
07201070000157,169.24,0,9
07201070000157,263.47,0,9
07201070000157,334.1,0,9
07201070000157,269.6,0,9
07201070000157,1516.18,0,9
07201070000157,175.49,0,9
07201070000157,154.82,1,9
07201070000157,248.21,0,9
07201070000157,179.61,0,9
07201070000157,26.19,0,9
07201070000157,277.14,0,9
07201070000157,261.72,0,9
07201070000157,269.69,0,9
07201070000157,98.28,0,9
07313514000146,26.96,0,8
07313514000146,183.44,0,8
07313514000146,93.35,0,8
07313514000146,85.98,0,8
07313514000146,331.31,0,8
07313514000146,93.74,0,8
07313514000146,108.18,0,8
07313514000146,353.46,0,8
07313514000146,108.16,0,8
07313514000146,544.78,0,8
07313514000146,121.51,1,8
07313514000146,232.01,0,8
07313514000146,46.32,0,8
07313514000146,323.35,0,8
07313514000146,107.77,0,8
07313514000146,207.72,1,8
07313514000146,286.89,0,8
07313514000146,228.02,0,8
07313514000146,236.15,0,8
07313514000146,230.46,0,8
07313514000146,422.83,0,8
07313514000146,156.59,0,8
07313514000146,46.06,0,8
07313514000146,101.95,0,8
07575651000159,2030.45,0,2
07575651000159,3212.8,0,2
07575651000159,1287.02,0,2
07575651000159,305.73,0,2
07575651000159,1849.3,0,2
07575651000159,902.23,0,2
07575651000159,3922.41,0,2
07575651000159,404.58,0,2
07575651000159,6406.3,1,2
07575651000159,1125.61,0,2
07575651000159,519.61,0,2
07575651000159,2032.8,0,2
07575651000159,3023.45,0,2
07575651000159,2322.16,0,2
07575651000159,9590.53,0,2
07575651000159,1381.69,0,2
07575651000159,432.01,0,2
07575651000159,774.61,0,2
07575651000159,914.31,0,2
07575651000159,1917.88,0,2
07575651000159,3705.06,0,2
07575651000159,2733.63,0,2
07575651000159,4035.58,0,2
