Data,CNPJ,Valor,Valor_corrigido
2013-02-01,05188383000197,48.0,85.02
2013-02-01,06114145000108,50.0,88.56
2013-02-01,07499995000207,43.33,76.75
2013-02-01,08563032000107,59.2,104.85
2013-02-01,10346547000105,48.7,86.26
2013-02-01,11169913000152,41.0,72.62
2013-02-01,13211367000104,1200.0,2125.42
2013-02-01,13914904000174,25.65,45.43
2013-02-01,47079637000189,70.0,123.98
2013-02-01,61084018000103,178.02,315.31
2013-02-01,61359691000109,93.4,165.43
2013-02-01,61386744000180,19.0,33.65
2013-02-01,42591651013393,69.0,122.21
2013-02-01,58509688000110,178.75,316.6
2013-02-01,66728858000185,249.5,441.91
2013-02-01,72908353002220,59.6,105.56
2013-02-01,02012862000160,927.04,1641.96
2013-02-01,07893966000144,140.0,247.97
2013-02-01,45103918000102,75.35,133.46
2013-02-01,59597849000137,105.16,186.26
2013-02-01,02530487000220,19.2,34.01
2013-02-01,07499995000207,61.07,108.17
2013-02-01,09438123000183,21.8,38.61
2013-02-01,09456714000183,43.1,76.34
2013-02-01,16434601000142,13.27,23.5
2013-02-01,25634551000480,184.0,325.9
2013-02-01,56007859000187,128.57,227.72
2013-02-01,61084018000103,126.57,224.18
2013-03-01,07201070000157,137.39,242.2
2013-03-01,09456704000148,83.76,147.66
2013-03-01,45980745000100,623.0,1098.28
2013-03-01,50657865000101,52.0,91.67
2013-03-01,,50.0,88.14
2013-03-01,10940972000110,300.0,528.87
2013-03-01,02668712000109,98.0,172.76
2013-03-01,04874861000150,98.0,172.76
2013-03-01,65684037000121,50.0,88.14
2013-03-01,72908353002300,59.4,104.72
2013-03-01,96461587000105,20.35,35.87
2013-03-01,00366518000143,268.99,474.2
2013-03-01,06164253000187,1134.5,2000.0
2013-03-01,62429634000111,162.0,285.59
2013-03-01,00964208000120,361.5,637.29
2013-03-01,07418545000161,444.0,782.73
2013-03-01,46430815000101,530.25,934.77
2013-03-01,50457951000162,67.0,118.11
2013-03-01,01829602000119,108.0,190.39
2013-03-01,02035397000182,18.0,31.73
2013-03-01,07574716000141,25.0,44.07
2013-03-01,07585392000147,12.3,21.68
2013-03-01,07660779000110,31.3,55.18
2013-03-01,07750853000190,37.86,66.74
2013-03-01,09075587000172,36.0,63.46
2013-03-01,10346547000105,38.7,68.22
2013-03-01,15440171000109,194.0,342.0
2013-03-01,49983893000121,39.5,69.63
2013-03-01,51144830000123,152.0,267.96
2013-03-01,53220695000183,145.0,255.62
2013-03-01,57076895000165,60.0,105.77
2013-03-01,72908353002068,32.09,56.57
2013-03-01,02530487000220,11.4,20.1
2013-03-01,07499995000207,50.54,89.1
2013-03-01,09447557000140,27.73,48.89
2013-03-01,09456550000194,11.79,20.78
2013-03-01,14733187000147,21.5,37.9
2013-03-01,59965038000141,1207.61,2128.89
2013-03-01,60909215001204,72.5,127.81
2013-03-01,62971056000140,343.15,604.94
2013-03-01,,153.0,269.72
2013-03-01,04881800000110,91.8,161.83
2013-03-01,06925263000198,10.5,18.51
2013-03-01,01757829000791,56.0,98.72
2013-03-01,04946696000366,221.8,391.01
2013-03-01,05324131000148,116.2,204.85
2013-03-01,06164253000187,697.53,1229.67
2013-03-01,08167209000156,45.65,80.48
2013-03-01,13291382000100,57.31,101.03
2013-03-01,43386903000165,231.28,407.72
2013-03-01,43599000000162,139.31,245.59
2013-03-01,54481247000104,134.5,237.11
2013-03-01,56302839000139,176.05,310.36
2013-03-01,74231887000165,45.16,79.61
2013-03-01,,240.0,423.09
2013-03-01,01830648000158,87.78,154.75
