"Data","CNPJ","Valor_corrigido"
"2018-03-01","64537541000136",181.76
"2018-03-01","73152423000109",98.2
"2018-03-01","44993632000179",2621.23
"2018-03-01","",491.67
"2018-03-01","00773941000168",113.37
"2018-03-01","04972650000150",88.79
"2018-03-01","09060964010677",130.63
"2018-03-01","09344710000103",192.66
"2018-03-01","09380553000191",129.46
"2018-03-01","09399877000171",670.42
"2018-03-01","09447557000140",33.34
"2018-03-01","09456704000148",51.53
"2018-03-01","11906030000188",24.32
"2018-03-01","17357301000170",475.98
"2018-03-01","28039375000184",744.93
"2018-03-01","28720805000129",31.12
"2018-03-01","47079637000189",196.15
"2018-03-01","54439138000110",65.91
"2018-03-01","54951561000103",76.5
"2018-03-01","56927163000330",310.17
"2018-03-01","61084018000103",179.41
"2018-03-01","45007937000127",200.85
"2018-03-01","61084018000103",71.4
"2018-03-01","02012862000160",3188.2
"2018-03-01","04112505000107",218.48
"2018-03-01","04287927000105",624.56
"2018-03-01","03300974004923",61.04
"2018-03-01","04660579000170",97.09
"2018-03-01","05135987000175",69.96
"2018-03-01","07754679000153",168.03
"2018-03-01","07772899000100",424.98
"2018-03-01","10946537000100",253.68
"2018-03-01","10946537000364",390.2
"2018-03-01","47682133000159",123.83
"2018-03-01","47682133000310",75.45
"2018-03-01","68264381000230",221.95
"2018-03-01","02530487000220",39.36
"2018-03-01","03300974004923",103.07
"2018-03-01","07361559000196",115.43
"2018-03-01","07866543000135",116.38
"2018-03-01","09438123000183",40.54
"2018-03-01","09456714000183",38.38
"2018-03-01","56007859000187",116.66
"2018-03-01","61084018000103",380.94
"2018-03-01","",189.61
"2018-04-01","57324113000160",469.72
"2018-04-01","10940972000110",456.67
"2018-04-01","15715534000171",430.58
"2018-04-01","00755225000158",40.45
"2018-04-01","11972670000196",52.19
"2018-04-01","18039245000198",45.67
"2018-04-01","22773852000154",522.3
"2018-04-01","52763109000184",46.32
"2018-04-01","59965038000141",1052.01
"2018-04-01","07575651000159",2030.45
"2018-04-01","09077023000179",50.25
"2018-04-01","17357301000170",218.47
"2018-04-01","33469172001644",81.77
"2018-04-01","10490515000170",405.13
"2018-04-01","52771516000133",63.28
"2018-04-01","",131.78
"2018-04-01","02105990000158",1109.06
"2018-04-01","07201070000157",378.32
"2018-04-01","09296295000160",1756.36
"2018-04-01","19179682000170",253.75
"2018-04-01","22182081000120",32.49
"2018-04-01","22408607000148",533.91
"2018-04-01","42591651144226",103.34
"2018-04-01","47405980000176",525.82
"2018-04-01","60909215000828",220.26
"2018-04-01","61084018000103",41.49
